lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
30,1.5,0.3,3,3.0,0.65,3,30,0.9506624789400329,0.4942084942084942,-0.9788859854404163,-1.2964439743057568,-0.3578756789378456,-5930.000000000102,0.15857218048710464,16570.0,1036,223.16894531249983,-229.37500000000003,-5.723938223938319,12.85135135135135,3385.0,-3470.0
30,1.5,0.5,3,2.0,0.65,5,30,0.909261820382055,0.47884615384615387,-0.8123268743252806,-1.1027357094225896,-0.6709811441355102,-10497.500000000058,0.1517090909090909,15645.0,1040,211.22991967871502,-213.45018450184529,-10.093750000000059,11.424038461538462,3385.0,-2480.0
30,1.5,0.5,3,2.0,0.75,3,0,0.9419781164377423,0.4811046511627907,-0.33238576120318375,-0.45357550469676156,-0.7623529411764788,-8100.000000000087,0.10159200650188842,10625.0,1376,198.64425981873134,-195.52170868347372,-5.886627906976807,10.571220930232558,2090.0,-2020.0
30,1.5,0.3,3,3.0,0.65,5,30,0.9330317258159554,0.48643410852713176,-0.9379884656791171,-1.2514916162616638,-0.5283443311337793,-8807.500000000102,0.16062825207169013,16670.0,1032,244.4422310756971,-248.1462264150944,-8.5343992248063,14.00968992248062,3385.0,-3470.0
30,1.5,0.3,2,4.0,0.75,3,30,1.0062683550699476,0.4977360931435964,-0.04920801357591301,-0.0723706411223831,0.16204081632655343,4962.5000000006985,0.28061575113391674,30625.0,6184,258.8166016894088,-254.88570508692837,0.802474126778895,14.701164294954722,7250.0,-4660.0
30,1.5,0.5,2,3.0,0.65,3,30,0.9667480445704925,0.498134328358209,-1.130241619689819,-1.4112013206708007,-0.5690161527165856,-19374.999999999738,0.32784517619872905,34050.0,5896,191.79349676540699,-196.91534302129102,-3.286126187245547,10.084972862957937,4120.0,-8120.0
30,1.5,0.3,2,4.0,0.65,3,0,0.9715778615756642,0.5001747030048916,-0.7474405629406551,-0.9731136485957249,-0.6117338768379469,-21009.999999999287,0.3165583667450113,34345.0,5724,250.85661893119115,-258.3755679832225,-3.6705101327741625,15.071977638015374,4440.0,-8165.0
30,1.5,0.3,2,2.0,0.65,5,30,0.9651608464915149,0.49472430224642616,-1.1380104957272008,-1.5504234035669469,-0.591737376547514,-21270.000000000393,0.3344965568583659,35945.0,5876,202.70037839697284,-205.63152576625137,-3.6198093941457423,9.719366916269571,4930.0,-5825.0
30,1.5,0.5,3,2.0,0.65,5,0,0.9145353099291356,0.47710622710622713,-0.7724977040319059,-1.0352194647942858,-0.6277295842058058,-10492.500000000044,0.1602819197391763,16715.0,1092,215.5038387715933,-215.00875656742585,-9.608516483516526,11.231684981684982,3385.0,-2480.0
30,1.5,0.3,3,3.0,0.65,5,0,0.9215297801206414,0.4824074074074074,-0.8246963142827264,-1.0954004685212921,-0.6066739606126954,-11090.000000000073,0.1722497055359246,18280.0,1080,249.97600767754312,-252.82200357781758,-10.268518518518585,13.901851851851852,3385.0,-3470.0
30,1.5,0.3,3,4.0,0.65,3,30,0.9689398569220254,0.4823529411764706,-0.25574908091616705,-0.3515469257323732,-0.42166910688141407,-4320.000000000087,0.09884225759768452,10245.0,1020,273.91260162601634,-263.41856060606085,-4.235294117647137,16.54313725490196,3385.0,-4165.0
30,1.5,0.3,3,2.0,0.75,3,30,0.8807951622992974,0.47865853658536583,-0.8342299771780013,-1.0983811952856977,-1.0638957816377226,-17150.000000000087,0.15413300186451212,16120.0,1312,201.78343949044597,-210.33625730994177,-13.071646341463486,12.011432926829269,2090.0,-3010.0
30,1.5,0.3,3,4.0,0.65,5,30,0.9390193105516579,0.48137254901960785,-0.45330384686168634,-0.628679313842844,-0.6514773940904319,-9150.000000000116,0.1348989098592902,14045.0,1020,286.960285132383,-283.64366729678665,-8.970588235294233,17.645098039215686,3815.0,-4165.0
30,1.5,0.3,3,2.0,0.65,3,30,0.9081618268959677,0.4799618320610687,-1.1605165210405037,-1.5888945211263845,-0.6528056112224507,-9772.500000000087,0.14597045487787041,14970.0,1048,192.1222664015905,-195.24770642201855,-9.32490458015275,10.264312977099237,3385.0,-1865.0
30,1.5,0.3,3,4.0,0.75,3,30,0.9277906771491027,0.4834384858044164,-0.08672662787240293,-0.11463071890533208,-1.0866366979975552,-13295.000000000087,0.11626360051313726,12235.0,1268,278.66639477977174,-281.09541984732846,-10.485015772870735,18.2807570977918,2625.0,-5215.0
30,1.5,0.5,3,2.0,0.65,3,0,0.9472351203039252,0.48097826086956524,-0.7430171186509174,-1.0409448268999242,-0.47150041911148854,-5625.000000000058,0.11632782409438838,11930.0,1104,190.16949152542395,-186.04712041884846,-5.095108695652222,9.601449275362318,3385.0,-1825.0
30,1.5,0.3,3,3.0,0.75,3,30,0.9268044730599794,0.4953416149068323,-0.49518866242600695,-0.6535225728060079,-0.7666989351403716,-11880.000000000058,0.14417306350314027,15495.0,1288,235.77586206896547,-249.70000000000005,-9.223602484472098,14.826086956521738,1980.0,-3470.0
30,1.5,0.5,3,2.0,0.75,5,30,0.8886176232821332,0.47762345679012347,-0.4165728039229512,-0.5430870619024419,-1.2640366972477193,-17222.500000000175,0.13018967082318092,13625.0,1296,221.97495961227793,-228.3973412112263,-13.288966049382848,13.241512345679013,2340.0,-3395.0
